,title,link,date
39," 김건희 여사, UAE 대통령 모친 파티마 여사와 만찬",https://www.khan.co.kr/politics/politics-general/article/202301161710001,2023.01.16 17:10
40, 이재명 “대일 저자세 굴종 외교 점입가경”···윤석열 정부 강제동원 해법 비판,https://www.khan.co.kr/politics/politics-general/article/202301161616001,2023.01.16 16:16
41, 김기현 “김장연대 철 지나···더 이상 안 써줬으면”,https://www.khan.co.kr/politics/politics-general/article/202301161551001,2023.01.16 15:51
42," 법사위, 양곡관리법 단독 상정에 파행···“단독 처리 막아야” VS “이미 법사위 손 떠나”",https://www.khan.co.kr/politics/politics-general/article/202301161544001,2023.01.16 15:44
43," [단독]국민의힘 당원가입 이유가 전광훈?···검색량으로 분석한 당심, 누구 뽑을까",https://www.khan.co.kr/politics/politics-general/article/202301161511001,2023.01.16 15:11
44," 정진석 “내년 총선, 당대표가 아니라 윤 대통령 얼굴로 치러질 것”",https://www.khan.co.kr/politics/politics-general/article/202301161017001,2023.01.16 10:17
45, 박홍근 “윤 대통령이 해임할 사람은 나경원 아니라 이상민”,https://www.khan.co.kr/politics/politics-general/article/202301161001001,2023.01.16 10:01
46, [리얼미터]윤 대통령 지지율 5주 만에 30%대···나경원 해임한 날 38%,https://www.khan.co.kr/politics/politics-general/article/202301160831001,2023.01.16 08:31
47, 나경원 “윤 대통령 40조 투자 유치 가슴 벅차”···논쟁 중 장제원과 온도차,https://www.khan.co.kr/politics/politics-general/article/202301160814001,2023.01.16 08:14
48, 문재인 정부 인사 모인 정책포럼 사의재 18일 발족···“실추된 국격 회복”,https://www.khan.co.kr/politics/politics-general/article/202301160745001,2023.01.16 07:45
49," 당정, 오늘 교육개혁 방향 논의···특권층 귀족학교 우려 해소될까",https://www.khan.co.kr/politics/politics-general/article/202301160724001,2023.01.16 07:24
50, 설 앞두고 ‘개헌’과 ‘기본사회’ 들고나온 이재명···반전 카드 될까,https://www.khan.co.kr/politics/politics-general/article/202301151645001,2023.01.15 16:45
51," 국민의힘 당권주자들, 잇단 ‘수도권 행보’···속내는 복잡",https://www.khan.co.kr/politics/politics-general/article/202301151619001,2023.01.15 16:19
52, 유승민 “대통령 공격하면 제재?···여기가 북한이냐”,https://www.khan.co.kr/politics/politics-general/article/202301151556001,2023.01.15 15:56
53, 나경원 언급한 2016년 ‘진박감별사’ 논란···결과는 총선 참패,https://www.khan.co.kr/politics/politics-general/article/202301151428001,2023.01.15 14:28
54, 원희룡 장관 “동작구 이사는 아내출근 등 고려한 것···총선 관계 없어”,https://www.khan.co.kr/politics/politics-general/article/202301151213001,2023.01.15 12:13
55," 국회, 설 직전 충돌 전망…북한 무인기·일제 강제동원·이태원 참사 쟁점",https://www.khan.co.kr/politics/politics-general/article/202301151036001,2023.01.15 10:36
56," 나경원, 장제원에 맞불···“제2의 진박감별사 당 쥐락펴락하는데 총선 이기겠나”",https://www.khan.co.kr/politics/politics-general/article/202301150821001,2023.01.15 08:21
57," 젤렌스키, 우크라이나 전쟁 1년 맞아 UN 방문 의사",https://www.khan.co.kr/politics/politics-general/article/202301142012001,2023.01.14 20:12
58," ‘공동 기자회견’ 없던 미·일 정상회담, 바이든 ‘기밀 유출 의혹’ 부담 탓?",https://www.khan.co.kr/politics/politics-general/article/202301141958001,2023.01.14 19:58
59, 민주당 “이재명 변호사비 대납? 새빨간 거짓말”,https://www.khan.co.kr/politics/politics-general/article/202301141935001,2023.01.14 19:35
60," 이준석, 전당대회 앞두고 장제원 저격?…“‘사무총장 호소인’ 심판하면 돼”",https://www.khan.co.kr/politics/politics-general/article/202301141708001,2023.01.14 17:08
61, 이재명 “이태원 참사 국정조사 이후에도 진상규명 이어갈 방안 마련할 것“,https://www.khan.co.kr/politics/politics-general/article/202301141612001,2023.01.14 16:12
62," 나경원 측, ‘김기현 1위’ 여론 조사에 “여론 마사지” 반발",https://www.khan.co.kr/politics/politics-general/article/202301141559001,2023.01.14 15:59
63," 민주당 시·도지사들, 설 앞두고 노무현 묘역 참배",https://www.khan.co.kr/politics/politics-general/article/202301141524001,2023.01.14 15:24
64," 허은아 의원, 장제원 ‘한 줌 반윤’ 언급에 “오만한 낙인찍기”",https://www.khan.co.kr/politics/politics-general/article/202301141252001,2023.01.14 12:52
65," 윤 대통령, 새해 첫 해외순방 출국···“모든 일정, 경제에 초점”",https://www.khan.co.kr/politics/politics-general/article/202301141007001,2023.01.14 10:07
66," 김기현, 국민의힘 당대표 지지율 1위···나경원과 오차범위",https://www.khan.co.kr/politics/politics-general/article/202301140934001,2023.01.14 09:34
67," 장제원 “나경원, 통속적인 정치신파극”···저격 이어가",https://www.khan.co.kr/politics/politics-general/article/202301140919001,2023.01.14 09:19
68," 나경원, ‘친윤 어필’하며 정식 사직서 제출…설 연휴 대표 출마 선언하나",https://www.khan.co.kr/politics/politics-general/article/202301131657001,2023.01.13 16:57
69, 야 3당 “이태원 참사 특수본 수사는 ‘꼬리자르기’···특검 수사 불가피”,https://www.khan.co.kr/politics/politics-general/article/202301131619011,2023.01.13 16:19
70," [스팟+터뷰] 이탄희, ‘대선 결선투표제법’ 발의···“반사이익 노리는 혐오정치 끝내야”",https://www.khan.co.kr/politics/politics-general/article/202301131609001,2023.01.13 16:09
71," ‘강제동원 제3자 변제’ 공식화 다음날, 한·일 외교장관 통화",https://www.khan.co.kr/politics/politics-general/article/202301131550001,2023.01.13 15:50
72, 주호영 “이재명 자기 발등 급한 불 두고 딴청부려”···정치개혁안 제안에 부정 반응,https://www.khan.co.kr/politics/politics-general/article/202301131131001,2023.01.13 11:31
73, 민주당 “북한 무인기 침범은 대통령실 이전 때문···감사 실시해야”,https://www.khan.co.kr/politics/politics-general/article/202301131115011,2023.01.13 11:15
74, [단독]다시 몸집 키우는 국정원···국정원 개혁 후퇴하나,https://www.khan.co.kr/politics/politics-general/article/202301130600021,2023.01.13 06:00
75," 나경원, 13일 사직서 낸다···“사의에 대한 확고한 의지”",https://www.khan.co.kr/politics/politics-general/article/202301122052011,2023.01.12 20:52
76," 민주당, 강제동원 정부안에 “피해자 짓밟고 일본 기업 이익 대변하나”",https://www.khan.co.kr/politics/politics-general/article/202301121741001,2023.01.12 17:41
77," 11년만에 통일부 ‘따로’ 업무보고…대북 압박 우선, 대화 후순위 현실",https://www.khan.co.kr/politics/politics-general/article/202301121711011,2023.01.12 17:11
78," 이준석, 전당대회서 ‘존재감 증명’할까…최고위원 선거 영향 있을 듯",https://www.khan.co.kr/politics/politics-general/article/202301121656001,2023.01.12 16:56
79, ‘전통문화 계승’ 한복입고 본의회 참석한 충북도의회 의원들…시민단체 “혈세낭비” 비판,https://www.khan.co.kr/politics/politics-general/article/202301121549011,2023.01.12 15:49
80," 눈물 바다된 국정조사, 이태원 참사 유가족 “경찰, 오빠 손대지 말라고···마지막 기회였는데”",https://www.khan.co.kr/politics/politics-general/article/202301121536001,2023.01.12 15:36
81, SRT 서대전역 경유 배제에 대전 지역사회 반발,https://www.khan.co.kr/politics/politics-general/article/202301121453001,2023.01.12 14:53
82, 이태원 참사 생존자 “장관·총리·의원이 2차가해···이상민 브리핑 보며 무너져”,https://www.khan.co.kr/politics/politics-general/article/202301121433001,2023.01.12 14:33
83," 김용태vs장예찬, ‘엄카’ 논쟁···실상은 표심 계산?",https://www.khan.co.kr/politics/politics-general/article/202301121359001,2023.01.12 13:59
84, [NBS] 이재명 검찰 출석 전후 민주당 지지율 더 떨어져···국민의힘과 격차 8%P,https://www.khan.co.kr/politics/politics-general/article/202301121157001,2023.01.12 11:57
85," 윤 대통령 부부, 호국영웅 등에 설 선물 전달",https://www.khan.co.kr/politics/politics-general/article/202301121113001,2023.01.12 11:13
86, 정진석 “간첩은 국정원이 잡아야···대공수사권 경찰 이전은 자발적 무장해제”,https://www.khan.co.kr/politics/politics-general/article/202301121043001,2023.01.12 10:43
