index,title,link,date
39," 본격화하는 ‘신공안정국’… “국정원, 전국서 시위하듯 간첩 수사”",https://www.khan.co.kr/politics/politics-general/article/202301181709001,2023.01.18 17:09
40, ‘나경원’에 대한 김기현과 안철수의 다른 ‘셈법’,https://www.khan.co.kr/politics/politics-general/article/202301181654001,2023.01.18 16:54
41, ‘친윤 패권주의 돌격대’ 된 국민의힘 초선의원들,https://www.khan.co.kr/politics/politics-general/article/202301181557001,2023.01.18 15:57
42, 야 3당 “이태원 참사 진상조사위 구성해야”···유가족은 마지막까지 눈물,https://www.khan.co.kr/politics/politics-general/article/202301181526001,2023.01.18 15:26
43," “전범기업 봐주는 굴욕외교”, 수요시위서 정부 강제동원 해법 규탄",https://www.khan.co.kr/politics/politics-general/article/202301181506001,2023.01.18 15:06
44," 윤상현 “나경원, 윤 대통령을 잘못 판단하는 지도자로 비하한 격”",https://www.khan.co.kr/politics/politics-general/article/202301180915001,2023.01.18 09:15
45," 나경원, 대전시당 신년회 불참…김기현·윤상현만 참석",https://www.khan.co.kr/politics/politics-general/article/202301180834001,2023.01.18 08:34
46," 정진석 “나경원, 자꾸 대통령 끌어들이는 것 바람직하지 않아”",https://www.khan.co.kr/politics/politics-general/article/202301172153001,2023.01.17 21:53
47," 이재명, 검찰 진술서 전격 공개···“단 한 푼의 사적 이익도 안 취해”",https://www.khan.co.kr/politics/politics-general/article/202301172056001,2023.01.17 20:56
48," 윤 대통령 “과학기술 선택권과 통제권, 생존권만큼 중요”",https://www.khan.co.kr/politics/politics-general/article/202301171931001,2023.01.17 19:31
49," 건협, 설 명절맞이 ‘따뜻한 겨울나기’ 보훈가족 후원",https://www.khan.co.kr/politics/politics-general/article/202301171852001,2023.01.17 18:52
50, 나경원 “결심 거의 섰다” 출마 시사에···김기현·안철수 빨라진 발걸음,https://www.khan.co.kr/politics/politics-general/article/202301171801001,2023.01.17 18:01
51," 민주당, 연이은 이재명 소환 통보에···‘김건희 특검’으로 맞불",https://www.khan.co.kr/politics/politics-general/article/202301171725011,2023.01.17 17:25
52," [인터뷰] 우상호 국조특위위원장 “국정조사, 유가족 눈물로 시작하고 끝나···2차 가해 엄벌하는 법 필요”",https://www.khan.co.kr/politics/politics-general/article/202301171708001,2023.01.17 17:08
53, 계엄군 묘지 참배한 오월단체 간부들 “5·18 때 산화”,https://www.khan.co.kr/politics/politics-general/article/202301171601001,2023.01.17 16:01
54, 김대기 실장 “대통령이 나경원 처신 어떻게 생각하는지 본인이 잘 알 것”,https://www.khan.co.kr/politics/politics-general/article/202301171539001,2023.01.17 15:39
55," 외교부, ‘윤 대통령, UAE 적은 이란’ 발언 “장병 격려 차원···불필요한 확대해석 없길”",https://www.khan.co.kr/politics/politics-general/article/202301171528001,2023.01.17 15:28
